a1	阿啊呵腌吖锕
a2	啊呵嗄
a3	啊呵
a4	啊呵
a5	阿啊呵
ai1	哀挨埃唉哎捱锿
ai2	呆挨癌皑捱
ai3	矮哎蔼霭嗳
ai4	爱碍艾唉哎隘暧嗳瑷嗌嫒砹
ai5	
an1	安谙鞍氨庵桉鹌广厂
an2	
an3	俺铵揞埯
an4	案按暗岸黯胺犴
an5	
ang1	肮
ang2	昂
ang3	
ang4	盎
ang5	
ao1	熬凹
ao2	熬敖嚣嗷鏖鳌翱獒聱螯廒遨
ao3	袄拗媪
ao4	奥澳傲懊坳拗骜岙鏊
ao5	
ba1	八吧巴叭芭扒疤笆粑岜捌
ba2	八拔跋茇菝魃
ba3	把靶钯
ba4	把爸罢霸坝耙灞鲅
ba5	吧罢
bai1	掰
bai2	白
bai3	百摆伯柏佰捭
bai4	败拜呗稗
bai5	
ban1	般班搬斑颁扳瘢癍
ban2	
ban3	版板阪坂钣舨
ban4	办半伴扮瓣拌绊
ban5	
bang1	帮邦浜梆
bang2	
bang3	膀榜绑
bang4	棒膀傍磅谤镑蚌蒡
bang5	
bao1	包胞炮剥褒苞孢煲龅
bao2	薄雹
bao3	保宝饱堡葆褓鸨
bao4	报暴抱爆鲍曝刨瀑豹趵
bao5	
bei1	背悲杯碑卑陂埤萆鹎
bei2	
bei3	北
bei4	被备背辈倍贝蓓惫悖狈焙邶钡孛碚褙鐾鞴
bei5	臂呗
ben1	奔贲锛
ben2	
ben3	本苯畚
ben4	奔笨夯坌
ben5	
beng1	崩绷嘣
beng2	甭
beng3	绷
beng4	绷蹦迸甏泵蚌
beng5	
bi1	逼
bi2	鼻荸
bi3	比笔彼鄙匕俾妣吡秕舭
bi4	必毕币秘避闭壁臂弊辟碧拂毙蔽庇璧敝泌陛弼篦婢愎痹铋
bi4	裨濞髀庳毖滗蓖埤芘嬖荜贲畀萆薜筚箅哔襞跸狴
bi5	
bian1	编边鞭砭煸蝙笾鳊
bian2	
bian3	贬扁匾碥窆褊
bian4	便变遍辩辨辫卞苄汴忭弁缏
bian5	边
biao1	标彪勺镖膘骠镳杓飚飑飙瘭髟
biao2	
biao3	表裱婊
biao4	鳔
biao5	
bie1	憋瘪鳖
bie2	别蹩
bie3	瘪
bie4	别
bie5	
bin1	宾滨彬斌缤濒槟傧玢豳镔
bin2	
bin3	
bin4	鬓殡摈膑髌
bin5	
bing1	并兵冰槟
bing2	
bing3	饼屏丙柄秉炳禀邴
bing4	并病摒
bing5	
bo1	般波播拨剥玻饽菠钵趵
bo2	百博伯勃薄泊柏驳魄脖搏膊舶礴帛铂箔渤钹孛亳鹁踣
bo3	簸跛
bo4	薄柏簸掰擘檗
bo5	卜啵
bu1	逋晡钸
bu2	不醭
bu3	补捕堡卜哺卟
bu4	不部布步怖簿埔埠瓿钚
bu5	
ca1	擦拆嚓
ca2	
ca3	礤
ca4	
ca5	
cai1	猜
cai2	才财材裁
cai3	采彩踩睬
cai4	采菜蔡
cai5	
can1	参餐骖
can2	残惭蚕
can3	惨黪
can4	惨灿掺璨孱粲
can5	
cang1	苍仓沧舱伧
cang2	藏
cang3	
cang4	
cang5	
cao1	操糙
cao2	曹槽嘈漕螬艚
cao3	草
cao4	
cao5	
ce1	
ce2	
ce3	
ce4	策测侧厕册恻
ce5	
cen1	参
cen2	岑涔
cen3	
cen4	
cen5	
ceng1	噌
ceng2	曾层
ceng3	
ceng4	蹭
ceng5	
cha1	差插叉碴喳嚓杈馇锸
cha2	查察茶叉茬碴楂猹搽槎檫
cha3	叉衩镲
cha4	差刹叉诧岔衩杈汊姹
cha5	
chai1	差拆钗
chai2	柴豺侪
chai3	
chai4	虿瘥
chai5	
chan1	搀掺觇
chan2	单缠禅蝉馋潺蟾婵谗廛孱镡澶躔
chan3	产铲阐谄冁蒇骣
chan4	颤忏羼
chan5	
chang1	昌娼猖伥阊菖鲳
chang2	长场常尝肠偿倘裳嫦徜苌
chang3	场厂敞氅昶惝
chang4	唱畅倡怅鬯
chang5	
chao1	超抄吵钞绰剿焯怊
chao2	朝潮嘲巢晁
chao3	炒吵
chao4	耖
chao5	
che1	车砗
che2	
che3	尺扯
che4	彻撤澈掣坼
che5	
chen1	郴琛嗔抻
chen2	陈沉晨沈尘臣辰橙忱谌宸
chen3	碜
chen4	称趁衬秤谶榇龀
chen5	伧
cheng1	称撑秤瞠噌铛柽蛏
