吖,vko
阿,vpe
啊,v;
锕,vja
哎,vke
哀,vw
埃,vt;
唉,vka
挨,vf;
捱,vfeu
皑,vb;
癌,vbi
矮,viu
蔼,vco
霭,vvo
艾,vc
爱,vz
隘,vpo
碍,vsi
嗳,vkuo
嗌,ykou
嫒,vnuo
暧,vquo
安,vo
桉,vmoo
氨,vqoo
庵,vge
谙,vyo
鹌,vieu
鞍,vgo
俺,vr;
铵,vjo
揞,vfo
岸,vs/
按,"v,"
胺,vvoo
案,vg
暗,vq
黯,vho
肮,vv;
昂,vq/
盎,vmi
凹,via
敖,vw;
遨,vlee
嗷,vkee
獒,vqee
熬,vle
聱,vvee
螯,vee
翱,vvu
鳌,vve
鏖,vuu
袄,vnue
媪,vni
坳,vta
傲,v/
奥,vd/
骜,vme
澳,vd;
懊,vlu
鏊,vjee
八,bp
巴,bai
扒,ba;
叭,bku
芭,bca
疤,bbai
捌,bfia
笆,bpai
粑,bna
拔,bfe
跋,bze
魃,bgeu
把,"b,"
靶,bga
坝,bt;
爸,bf/
罢,bz/
鲅,bveu
霸,bv/
灞,bdeo
吧,bk
掰,bsuo
白,bu
百,be
佰,bre
柏,bmui
捭,bfui
摆,bfi
败,bb;
拜,bs;
稗,bhuia
扳,bfuu
班,bw;
般,bz
颁,byu
斑,bwo
搬,bf;
瘢,bbuu
癍,bbee
阪,bpuu
坂,btuu
板,bmu
版,bp;
钣,bjuu
舨,bzuu
办,ba
半,bd
伴,rb
拌,bfo
绊,bjo
瓣,bxu
扮,bfuo
邦,bv;
帮,bj
梆,bme;
浜,bdui
绑,bje
榜,bmo
蚌,bee
棒,bmee
傍,br;
谤,byo
蒡,bcoe
磅,bsoe
镑,bjoe
勹,buaa
包,bba
苞,bcua
孢,bzua
胞,bvu
龅,bcu;
煲,bhui
褒,bwu
雹,bvu/
薄,bc/
饱,bsu
宝,bg
保,br
鸨,biu
葆,bcui
堡,btu
褓,bnuii
报,bf
抱,bao
趵,bzuao
豹,bzu
鲍,bvua
暴,bq
爆,bh;
杯,bme
卑,bbu
悲,bxi
碑,bsui
北,bs
贝,bia
孛,bgai
狈,bqi
备,bw
背,bv
钡,bji
倍,bro
悖,blei
被,bn
辈,bc
惫,bx/
焙,bho
蓓,bcu
呗,bk;
奔,bd/
贲,bbei
犇,bnue
锛,bjeuo
本,bm
苯,bce
畚,bseu
笨,bp/
崩,bsua
绷,bju
嘣,bki
甭,buu
泵,bsi
迸,blo
蹦,bzi
屄,bso
逼,ble
荸,bcei
鼻,bui
匕,bua
比,bh
妣,bnea
彼,bc;
秕,bhea
笔,bpu
俾,brui
鄙,bpi
币,bj/
必,bo
毕,bbe
闭,bm/
庇,bge
荜,bcea
毖,bboa
哔,bkea
陛,bpea
毙,bbeu
铋,bjoa
敝,bwou
婢,bnu
赑,bbiau
筚,bpeau
愎,blue
弼,bg;
蓖,bcuia
痹,bbia
滗,bdue
裨,bnui
碧,bs/
蔽,bco
弊,buo
篦,bpui
壁,bta
避,bla
髀,bgui
臂,bva
璧,bw/
边,bl
砭,bsuoa
编,bj;
煸,bhoa
蝙,bcoa
鳊,bvoa
鞭,bgu
贬,bbuo
扁,bhi
匾,bno
卞,bwio
汴,bdoe
忭,bloe
变,by
便,b/
遍,bl/
辨,bx
辩,bx;
辫,bxa
标,bm;
骉,bma
髟,bhie
彪,bhu
骠,pmei
膘,bvei
飙,bqe
镖,bjei
飚,bjuo
镳,bjoeu
表,bt
婊,bne
裱,bnee
俵,bree
鳔,bveia
憋,bxo
鳖,bvou
别,b;
蹩,bzo
瘪,bbui
宾,bg/
彬,bpe
斌,bwe
滨,bdo
缤,bjoo
槟,bmoo
镔,bjooa
濒,bdi
摈,bfoo
殡,bto
膑,bvoo
髌,bgo
鬓,bbo
冰,bgi
兵,bqu
丙,bh/
秉,bha
柄,bmei
饼,bsou
炳,bhe
禀,bwi
疒,boe
并,bb
病,bb/
摒,bfae
拨,bfa
波,bda
玻,bwa
钵,bje;
饽,bsei
剥,blae
菠,bcoo
播,bfu
伯,bru
驳,bmuo
帛,bbi
泊,bdu
勃,bl;
钹,bjeu
铂,bjui
亳,bwiae
舶,bzui
脖,bve
博,bse
鹁,bie
渤,bde
搏,bfei
箔,bpoo
膊,bve;
礴,bseii
跛,bza
擘,bsa
簸,bpei
卜,bio
啵,bko
逋,bleia
晡,bqei
卟,bkio
补,bni
捕,bu;
哺,bke
不,b_
布,bti
步,bi
怖,bleu
钚,bjeui
部,b.
埠,btui
踄,bzie
醭,byi
簿,bpo
擦,ca;
猜,cq;
才,ce
材,cme
财,cb;
裁,cho
采,cz/
彩,cpu
睬,cmuo
踩,cz;
菜,ccu
蔡,ccua
参,cs
餐,cs/
残,ct;
蚕,cee
惭,clea
惨,cl;
灿,chi
粲,cmie
璨,cwie
仓,cra
伧,cruo
苍,ccuo
沧,cdu
舱,czuo
藏,cce
操,cao
糙,cnu
曹,cqe
嘈,cke;
漕,cdei
慒,cleia
槽,cmei
草,cc
肏,cruoi
册,cpa
厕,cii
侧,cri
测,cdi
恻,clia
策,cp/
岑,csuo
涔,cdia
噌,ckou
层,ce/
曾,co
蹭,czo
叉,cy/
杈,cma;
插,cfu
馇,csei
嚓,ckoo
茬,cceu
茶,cc/
查,cm
搽,cfei
猹,cqeiu
碴,cse
察,cgu
衩,cna
岔,csu
刹,sluo
诧,cyo
差,cb
姹,cnoo
拆,cfuu
钗,cja
侪,croe
柴,cmi
豺,czei
虿,ceeu
掺,cfa
搀,cfua
谗,cyua
婵,cnou
馋,csua
禅,cn;
孱,csa
缠,cj;
蝉,ceo
潺,cdae
澶,cdoei
蟾,ceua
产,cl
谄,cyu
铲,cjo
阐,cmo
忏,clue
颤,cy;
伥,crue
昌,cqi
菖,ccia
猖,cqia
娼,cnia
鲳,cvia
肠,cva
尝,cxo
常,ci
偿,crio
徜,ccio
嫦,cnio
厂,ceu
场,ct
昶,cqoa
敞,cw;
氅,cmiou
怅,clui
畅,cta
倡,cria
唱,ck;
抄,cfiu
钞,cjiu
绰,cjie
超,ct/
晁,cquo
巢,cza
朝,cv
嘲,cke
潮,cde
吵,ckiu
炒,chiu
车,cha
扯,ce;
彻,cc;
掣,csue
撤,cfo
澈,cdo
抻,cfiae
郴,cpei
琛,cwoa
嗔,ckei
臣,cn/
尘,cti
辰,ci/
沉,cd
忱,cloa
陈,cpe
宸,cgeu
晨,cq/
谌,cyeii
碜,csao
衬,cne
趁,ctuo
谶,cyuo
琤,cwu
称,ch;
撑,cfi
瞠,cmio
成,"c,"
丞,chai
呈,ckee
诚,cye
承,czi
城,tc
乘,ch/
程,ch
惩,cxuu
澄,dda
橙,cmao
逞,cl/
骋,cmia
秤,che
吃,ck
哧,ci;
蚩,cea
笞,cpao
嗤,cka
痴,cb/
螭,ceoe
魑,cgo
池,cda
弛,cgai
驰,cma
迟,cla
持,cf
踟,czue
尺,ca/
齿,cie
侈,crua
耻,cvi
豉,coe
褫,cnuu
叱,ckua
斥,cj/
赤,ctu
饬,csuea
炽,chia
翅,cv/
敕,cwe
啻,ckoe
冲,cg
充,cw/
忡,cliae
舂,cou
憧,cloe
艟,czoeo
虫,cia
崇,csoo
宠,cge
铳,cjoe
抽,cf;
犨,cnui
仇,cru
俦,cre
惆,clua
绸,cju
畴,cte
酬,cyou
稠,chu
愁,cxu
筹,cpee
踌,czee
雠,czoa
丑,cai
瞅,cmu
臭,cqu
出,c_
初,cn
樗,cmeo
刍,cd/
除,ca
厨,ciei
锄,cjia
滁,cdai
蜍,ceuo
雏,czua
橱,cmeu
躇,czeii
蹰,czeue
杵,cmue
础,csai
储,cro
楚,cy
褚,cnei
处,cw
怵,clei
绌,cjai
畜,cto
搐,cfoe
触,cji
黜,chaii
矗,cze
揣,cfia
踹,czia
川,cui
氚,cqui
穿,cx
传,cr
船,czu
椽,cmaa
