耀,4352,yao
涉,3206,she
谈,45332,tan
伊,32550,yi
亟,51,ji
洞,7459,dong
咣,83,guang
猢,9,hu
缪,1742,miao
河,16397,he
临,10326,lin
犷,215,guang
吸,15137,xi
娼,575,chang
线,19650,xian
反,40310,fan
牌,7639,pai
雏,1370,chu
姑,23719,gu
硐,99,dong
卢,9907,lu
知,137107,zhi
除,24143,chu
彪,164,biao
闹,8362,nao
廿,25,nian
覆,2404,fu
辊,5,gun
应,53631,ying
踟,24,chi
儡,97,lei
崩,1355,beng
芬,3279,fen
冶,190,ye
骼,195,ge
赉,4,lai
湟,41,huang
囤,50,dun
峨,152,e
括,4260,kuo
滴,4034,di
须,22992,xu
孽,1168,nie
鹿,2081,lu
沉,30969,chen
上,501041,shang
犍,33,jian
后,221308,hou
碑,1210,bei
餐,16951,can
怖,4291,bu
蒙,16456,meng
砦,10,zhai
枯,2607,ku
伴,12047,ban
玷,541,dian
逶,29,wei
离,49461,li
壑,147,he
盥,289,guan
裱,60,biao
号,15740,hao
灶,503,zao
姻,3152,yin
忿,872,fen
节,17677,jie
厌,12130,yan
钎,34,qian
骒,12,ke
茗,13,ming
褛,412,lv
倡,255,chang
熠,573,yi
锣,184,luo
稽,2106,ji
拂,1600,fu
克,126758,ke
坏,17573,huai
鹕,145,hu
胖,4355,pan
几,83484,ji
巨,8582,ju
黪,4,can
赳,125,jiu
齿,4413,chi
舀,242,yao
萄,3799,tao
挖,3411,wa
嚣,698,xiao
符,2954,fu
披,5110,pi
蜮,13,yu
炷,15,zhu
锺,31,zhong
鼾,387,han
所,141149,suo
摄,2237,she
灌,3482,guan
佞,31,ning
兢,926,jing
学,55723,xue
翩,963,pian
臭,3208,chou
诱,4747,you
仳,8,pi
践,1196,jian
膂,40,lv
标,9839,biao
予,4994,yu
越,28425,yue
琏,5,lian
馒,81,man
岔,776,cha
耗,1736,hao
谟,57,mo
匡,44,kuang
弩,197,nu
纨,103,wan
懂,11098,dong
配,8277,pei
魑,8,chi
秒,2545,miao
菖,34,chang
橛,11,jue
江,2254,jiang
连,37625,lian
癣,66,xuan
惬,551,qie
相,80401,xiang
驻,1661,zhu
好,226987,hao
鱿,45,you
撅,334,jue
溉,115,gai
嘎,1616,ga
窑,276,yao
粕,39,po
或,60768,huo
垣,224,yuan
钥,3133,yao
簪,53,zan
斯,195605,si
澳,631,ao
鸾,18,luan
煌,1036,huang
筐,401,kuang
缸,901,gang
曙,400,shu
乞,1943,qi
狡,2240,jiao
绩,1522,ji
普,30025,pu
俳,60,pai
雹,227,bao
寻,13264,xun
侈,696,chi
册,1949,ce
缓,8040,huan
榜,717,bang
负,9610,fu
疤,1051,ba
樱,1211,ying
记,39932,ji
趴,1154,pa
蹉,27,cuo
泊,1587,bo
遍,9648,bian
盎,530,ang
当,144923,dang
叠,2166,die
督,8205,du
嗤,501,chi
髦,1243,mao
荫,1953,yin
轳,30,lu
酷,5421,ku
矸,12,gan
榉,255,ju
箕,83,ji
挚,1034,zhi
座,19765,zuo
梳,3238,shu
帼,9,guo
窿,707,long
胃,2470,wei
案,11091,an
铋,5,bi
癌,893,ai
飓,191,ju
聘,432,pin
珥,11,er
秩,1064,zhi
孪,207,luan
潲,20,shao
诵,1440,song
峻,1294,jun
螂,221,lang
岐,66,qi
谛,613,di
溜,6065,liu
天,175455,tian
札,1799,zha
蚬,5,xian
洱,5,er
邸,1314,di
妾,133,qie
淆,279,xiao
燎,211,liao
汛,25,xun
觞,12,shang
勤,3738,qin
葫,397,hu
良,11437,liang
泰,9387,tai
陷,7117,xian
兹,7604,zi
综,647,zong
驿,669,yi
茄,1653,jia
粑,5,ba
窕,77,tiao
戚,2612,qi
钡,6,bei
瘢,29,ban
斫,22,zhuo
弼,5,bi
臃,196,yong
过,300976,guo
答,49945,da
噢,5997,o
饨,43,tun
婪,1178,lan
蛭,50,zhi
瑶,7,yao
牺,3539,xi
寿,834,shou
蚂,476,ma
誊,103,teng
麒,16,qi
蜗,174,wo
丝,30344,si
澜,210,lan
疠,17,li
昭,582,zhao
螬,9,cao
亲,97566,qin
樵,75,qiao
讴,25,ou
降,6175,jiang
协,3811,xie
绒,2580,rong
蓖,48,bi
古,21806,gu
姨,3961,yi
柬,273,jian
药,10729,yao
幽,5005,you
翼,5318,yi
极,26889,ji
耄,23,mao
殉,434,xun
些,166808,xie
愚,4811,yu
劣,2343,lie
悯,2093,min
丰,5268,feng
贲,26,ben
券,1331,quan
尼,52734,ni
忑,400,te
髓,398,sui
艘,2027,sou
燥,1257,zao
彦,670,yan
据,16721,ju
签,3876,qian
辆,8425,liang
和,288683,he
庐,131,lu
折,9281,zhe
窨,25,xun
漱,212,shu
宾,5748,bin
镍,51,nie
偏,6189,pian
齑,24,ji
饕,51,tao
湛,430,zhan
诞,3376,dan
因,129334,yin
虫,5005,chong
狸,945,li
顿,26084,dun
蜀,46,shu
锌,78,xin
刎,18,wen
芙,3947,fu
供,9549,gong
琢,1125,zhuo
枫,244,feng
估,3531,gu
谲,71,jue
阶,9682,jie
杀,23584,sha
响,26197,xiang
界,27554,jie
量,28769,liang
壕,614,hao
拙,1457,zhuo
靠,19753,kao
呢,73351,ne
扮,5874,ban
汲,342,ji
嗷,141,ao
忻,7,xin
姿,5392,zi
蒂,32937,di
看,252167,kan
徐,704,xu
蔗,230,zhe
掘,1152,jue
瞠,199,cheng
倥,9,kong
娩,247,mian
搭,5455,da
辰,715,chen
爹,1735,die
媾,103,gou
擂,319,lei
狎,39,xia
鹑,165,chun
孓,14,jue
胚,197,pei
埠,51,bu
铢,20,zhu
凤,327,feng
寨,287,zhai
旬,510,xun
乱,19686,luan
饿,4408,e
罔,88,wang
箍,444,gu
崎,1650,qi
逐,6635,zhu
阔,4465,kuo
缱,52,qian
焦,4919,jiao
溯,476,su
贮,541,zhu
尸,6748,shi
皿,262,min
桀,93,jie
湄,19,mei
苇,333,wei
摈,316,bin
黏,316,nian
凑,3148,cou
癔,18,yi
淙,132,cong
佚,40,yi
孢,21,bao
鹤,628,he
坪,1082,ping
语,33256,yu
浮,6172,fu
僻,1511,pi
囿,42,you
弥,4614,mi
纤,1916,qian
璨,106,can
朵,14627,duo
鲸,280,jing
襁,109,qiang
毂,17,gu
蕉,324,jiao
魍,8,wang
呓,148,yi
牧,8070,mu
哨,2741,shao
衫,5508,shan
韪,15,wei
惰,440,duo
葳,17,wei
更,61317,geng
驷,19,si
狼,4125,lang
梁,1620,liang
溅,1106,jian
窍,865,qiao
划,12990,hua
栖,597,qi
芝,1476,zhi
搞,7501,gao
钩,1555,gou
榫,38,sun
瘪,535,bie
鸺,7,xiu
瞿,54,ju
跃,3605,yue
仅,19738,jin
菇,361,gu
效,7643,xiao
赘,351,zhui
荜,11,bi
婢,151,bi
绥,50,sui
噪,649,zao
俯,3428,fu
胱,96,guang
击,18406,ji
侄,1853,zhi
指,43354,zhi
肆,1685,si
蚊,434,wen
完,56319,wan
堡,9354,bao
群,17197,qun
吩,3546,fen
昵,732,ni
爽,2088,shuang
惆,223,chou
奋,7905,fen
遑,43,huang
狒,473,fei
陕,9,shan
束,13318,shu
忤,47,wu
嗨,1456,hai
雪,12762,xue
软,7872,ruan
柴,2926,chai
屹,195,ge
剽,65,piao
殁,18,mo
言,33163,yan
涅,4721,nie
谄,192,chan
枉,678,wang
玑,11,ji
儒,997,ru
辙,409,zhe
膝,5351,xi
傧,65,bin
常,79386,chang
值,12282,zhi
霾,120,mai
髋,36,kuan
硌,17,ge
鳏,156,guan
发,155199,fa
篡,217,cuan
奢,1425,she
卦,156,gua
矩,2358,ju
陨,60,yun
啪,1671,pa
潮,5482,chao
菱,95,ling
睾,435,gao
莆,6,pu
程,15270,cheng
簏,7,lu
醒,17068,xing
咔,432,ka
伙,24558,huo
溘,30,ke
舛,34,chuan
窠,113,ke
鸣,3281,ming
粤,6,yue
椭,271,tuo
侮,2768,wu
家,167028,jia
麸,17,fu
乃,2208,nai
赅,34,gai
揆,24,kui
蝉,223,chan
屏,2430,bing
翎,136,ling
付,12945,fu
扛,828,kang
跚,480,shan
闪,16751,shan
顷,522,qing
役,4059,yi
绸,1814,chou
兽,3610,shou
蜈,37,wu
碍,3910,ai
倒,37794,dao
肝,1454,gan
骡,821,luo
琪,4189,qi
涯,1036,ya
踮,458,dian
玻,5882,bo
杈,145,cha
獐,10,zhang
畔,1025,pan
惝,9,chang
湮,125,yan
英,28354,ying
究,15292,jiu
都,197353,dou
百,23198,bai
袂,14,mei
笋,144,sun
喔,1190,wo
丙,347,bing
茛,22,gen
尥,22,liao
亮,29012,liang
莰,4,kan
佃,348,dian
棂,81,ling
拆,1924,chai
绎,149,yi
俘,2466,fu
蛞,30,kuo
照,33877,zhao
饷,100,xiang
长,90080,chang
谀,159,yu
疑,22928,yi
缢,61,yi
沫,1360,mo
猪,3253,zhu
纷,4769,fen
汀,434,ting
橄,679,gan
蛇,2679,she
忍,14445,ren
嗑,62,ke
形,29450,xing
啦,20278,la
遨,56,ao
迭,614,die
楮,6,chu
廷,2788,ting
勿,473,wu
咐,4173,fu
鞒,4,qiao
舟,902,zhou
躬,2387,gong
隼,115,sun
赁,91,lin
屋,25143,wu
镑,1629,bang
跖,5,zhi
诚,11701,cheng
豫,3532,yu
拴,1028,shuan
她,694119,ta
盼,2390,pan
沁,674,qin
悉,5847,xi
锐,3115,rui
侗,7,dong
氖,5,nai
蚝,23,hao
鲡,22,li
妣,4,bi
骥,13,ji
琦,1019,qi
爪,1499,zhua
夸,3792,kua
逾,308,yu
慈,4665,ci
哑,3315,ya
曝,168,bao
幢,2665,zhuang
童,5531,tong
呦,36,you
烩,126,hui
剪,2994,jian
空,35040,kong
灾,3473,zai
後,218,hou
笏,11,hu
果,82556,guo
娥,93,e
倩,154,qian
熨,379,yun
渭,51,wei
薰,164,xun
莴,57,wo
豁,542,hua
滂,167,pang
盒,3574,he
敛,354,lian
损,5131,sun
胞,1666,bao
黢,62,qu
赫,13847,he
援,1882,yuan
秸,170,jie
掉,28456,diao
瞑,98,ming
阐,502,chan
途,6267,tu
挞,108,ta
索,20634,suo
馥,161,fu
咧,1911,lie
眦,6,zi
梯,10434,ti
吼,3314,hou
錾,10,zan
扈,203,hu
巍,489,wei
毙,816,bi
翡,1080,fei
坦,8878,tan
敲,7534,qiao
闽,5,min
獾,38,huan
膊,5158,bo
岌,94,ji
谗,58,chan
纠,2575,jiu
夥,30,huo
朱,6601,zhu
蚰,5,you
肴,623,yao
骸,453,hai
草,18416,cao
懊,1294,ao
痒,1040,yang
汗,4503,han
壤,639,rang
韦,7070,wei
曰,147,yue
艳,2415,yan
惴,529,zhui
避,10246,bi
梅,17243,mei
抉,203,jue
皑,223,ai
炕,238,kang
宣,7521,xuan
颥,6,ru
喧,2237,xuan
瘦,5217,shou
掳,201,lu
鸶,17,si
瞻,301,zhan
仁,3320,ren
诃,3377,he
睐,220,lai
乖,2593,guai
绡,11,xiao
狩,561,shou
巷,1921,xiang
凿,790,zao
貂,196,diao
斜,4669,xie
鬣,86,lie
利,83424,li
怵,108,chu
庶,285,shu
劾,20,he
蹁,7,pian
衅,499,xin
艉,44,wei
惊,34332,jing
奏,5603,zou
卓,2661,zhuo
苞,229,bao
忠,6773,zhong
叨,1877,dao
淬,43,cui
柰,22,nai
命,44630,ming
痼,41,gu
酿,899,niang
退,12069,tui
瞅,1929,chou
阄,41,jiu
弊,424,bi
舌,4580,she
焖,35,men
废,3906,fei
炫,912,xuan
漪,135,yi
键,1785,jian
堰,43,yan
贾,3350,jia
铃,4825,ling
桐,210,tong
坚,13861,jian
篝,567,gou
查,23148,cha
诽,498,fei
仿,17483,fang
傀,112,gui
球,9853,qiu
馆,14256,guan
龊,261,chuo
